# MEAN_SAMPLE_SIZE = 89015
# TOTAL_GENES = 18412
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
APRELIKOVA_BRCA1_TARGETS                 SET      44     0.028543    0.0013937      0.20649      0.44503 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      39     0.014922   0.00068604      0.22994      0.47413 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53     -0.31214    -0.016723      0.21179      0.92972 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     149       0.3716     0.033294      0.12657    0.0016648 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45      0.11869    0.0058608      0.23638      0.30779 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9     0.087059    0.0019244       0.4377      0.42117 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48     -0.23255    -0.011858      0.21586      0.85932 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      17    -0.073862   -0.0022434      0.35515      0.58237 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     115     -0.25912    -0.020415      0.14645      0.96157 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     -0.28196   -0.0099595      0.35031      0.78955 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      45      0.27868     0.013761      0.23404      0.11688 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23      0.25453    0.0089905      0.33051      0.22062 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     406    0.0093603    0.0013746      0.07832      0.45244 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      80    -0.092024   -0.0060529      0.18029      0.69512 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29    -0.019046  -0.00075531      0.28984       0.5262 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64     -0.35362    -0.020813      0.19203      0.96722 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3       1.1949     0.015251      0.98676      0.11298 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     -0.44697    -0.010414      0.44872      0.84039 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7       0.1129     0.002201      0.68247       0.4343 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14     -0.50552    -0.013935      0.43914      0.87516 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     160    -0.085395   -0.0079261      0.12392      0.75462 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51     -0.10943   -0.0057516      0.21028      0.69861 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      36     -0.21215   -0.0093722      0.28942      0.76823 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13     -0.30316   -0.0080529      0.39462      0.77882 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32      0.30101     0.012538      0.25956       0.1231 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.78956     0.016455      0.56248     0.080212 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     146     0.092776     0.008229      0.12607       0.2309 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18     -0.39904    -0.012471      0.37237      0.85805 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.26047    0.0057574      0.60425      0.33322 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12       0.2981     0.007608      0.42691      0.24251 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      28      0.35758     0.013934      0.30532      0.12077 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18     -0.11501   -0.0035945      0.35096      0.62843 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     -0.34738   -0.0095755      0.40069      0.80701 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18     -0.35561    -0.011114      0.36704      0.83368 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54     -0.22466    -0.012149      0.21659      0.85019 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23      0.68082     0.024048      0.29964     0.011546 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      26      0.14414     0.005413      0.27173       0.2979 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31     -0.14013   -0.0057451      0.30674       0.6761 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10      -0.4059   -0.0094573      0.43346      0.82547 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      14     -0.13623   -0.0037551      0.39148      0.63607 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15     -0.55728      -0.0159      0.45714      0.88858 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39     -0.17018   -0.0078242      0.23951      0.76131 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     357     0.098341     0.013561     0.083176      0.11855 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     270      0.10501     0.012623     0.093653      0.13109 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     135     0.068517    0.0058456      0.12785      0.29601 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      69      0.20651     0.012619      0.18995      0.13848 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      96     -0.11747   -0.0084606      0.16606      0.76034 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5       0.3422    0.0056385      0.77649      0.32972 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      75     0.062237    0.0039642       0.1801      0.36483 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11      0.31374    0.0076665      0.47129      0.25281 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      30    -0.088679   -0.0035768      0.26768      0.62978 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      50     -0.22266    -0.011588      0.20878      0.85689 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      51    -0.033682   -0.0017703      0.20477      0.56532 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7    -0.074276    -0.001448      0.68491      0.54318 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45     -0.14029   -0.0069275      0.25854       0.7063 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      53      0.09177    0.0049167      0.23909      0.35055 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      63       0.2592     0.015137      0.18476     0.080325 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      36      0.33282     0.014703      0.26146      0.10153 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      45      0.45848     0.022639      0.22611     0.021305 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      25     -0.14839   -0.0054645      0.31205      0.68279 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     614      0.11637     0.020893     0.062342     0.030988 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     917     0.094671     0.020595     0.057919     0.051081 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     348     0.070545    0.0096066     0.080231      0.18964 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36     0.031166    0.0013768      0.23743      0.44779 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8    -0.081757   -0.0017039      0.56388      0.55764 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      93       0.2352     0.016674      0.16066     0.071611 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1007      0.12626      0.02871      0.05538     0.011314 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     719      0.14182     0.027473     0.055128     0.005052 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     208     0.076392    0.0080737      0.10371      0.23069 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     929      0.10536     0.023063     0.051761     0.020904 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     172     0.088502    0.0085141      0.11927      0.22904 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     274      0.19731     0.023891      0.09631     0.020253 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     577      0.13812     0.024065     0.073492     0.030104 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     143      0.13843     0.012152       0.1247      0.13349 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     699       0.1154     0.022055     0.059829     0.026884 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     883     0.077983     0.016664     0.059099     0.093504 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48      0.29618     0.015103      0.24852      0.11668 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28      -0.2693    -0.010494      0.25556        0.854 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     375    -0.032546   -0.0045973     0.079271       0.6593 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28    -0.093786   -0.0036547      0.31811      0.61593 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20     0.082332    0.0027121      0.38555      0.41545 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      27     -0.22267    -0.008521       0.3105      0.76335 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8    -0.059611   -0.0012423      0.60114       0.5395 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     516      0.10234     0.016892     0.066362     0.061524 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     -0.82694    -0.012188       0.8498      0.83474 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56      0.18808     0.010357      0.22274      0.19922 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      35      0.27124     0.011815      0.25793       0.1465 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      42     -0.13513   -0.0064469      0.22466      0.72624 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24      0.14724    0.0053127      0.29886      0.31112 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163    -0.050464   -0.0047272      0.12611      0.65548 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     190     -0.13991     -0.01414      0.11513      0.88784 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     115     -0.02053   -0.0016175      0.14083      0.55795 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     111    -0.016476   -0.0012754      0.13851      0.54734 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      77    -0.059021   -0.0038089       0.1661      0.63883 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      87      0.19542     0.013402      0.17899      0.13746 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
BHAT_ESR1_TARGETS_NOT_VIA_AK...2         SET     202     -0.16729    -0.017427      0.11547      0.92629 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP
