# TOTAL_GENES = 18870
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
APRELIKOVA_BRCA1_TARGETS                 SET      44     0.031112    0.0015006      0.11702      0.39517 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40       0.1028    0.0047281      0.12443      0.20437 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53      0.15558     0.008234      0.11454     0.087188 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     150    -0.048608   -0.0043166     0.066072      0.76903 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      44       0.2386     0.011508      0.12098     0.024301 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9     -0.38051   -0.0083083      0.24399      0.94056 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48     -0.12517    -0.006305      0.12063      0.85026 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18     -0.34513    -0.010655      0.20198      0.95624 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116    0.0063942   0.00049981     0.079605      0.46799 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     -0.25496   -0.0088961      0.18827      0.91216 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46     0.043686    0.0021544       0.1275      0.36594 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23   -0.0087764  -0.00030622       0.1804       0.5194 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     411      0.02591    0.0037821      0.04278      0.27238 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      82      0.03368    0.0022154     0.090229      0.35447 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29    -0.011523  -0.00045139      0.15035      0.53054 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      65     0.014606   0.00085581     0.098499      0.44106 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3     -0.51489   -0.0064918      0.52257      0.83776 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     -0.09035   -0.0020794      0.29483      0.62037 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7      0.11244    0.0021653      0.33281      0.36774 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14      0.35596    0.0096923       0.2083     0.043747 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     163      -0.1104    -0.010216     0.065613      0.95376 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51    -0.021165   -0.0010989      0.12346      0.56805 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      38     -0.23112    -0.010361      0.12851      0.96394 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13    -0.057035   -0.0014966      0.21922      0.60263 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32    -0.012288  -0.00050562      0.14115      0.53469 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.33969    0.0069929      0.26988      0.10408 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     150     0.056266    0.0049967     0.065619       0.1956 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18      0.15496    0.0047837       0.2072      0.22728 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.12158    0.0026547      0.26473      0.32303 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12      0.26465    0.0066718      0.21814      0.11253 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      30     0.056174    0.0022381      0.14655      0.35075 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18     0.018748   0.00057877       0.1796      0.45843 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14    -0.071522   -0.0019475      0.17656      0.65729 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18     0.050297    0.0015527      0.16886      0.38291 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54     0.042291    0.0022592      0.11406       0.3554 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      22      0.12189    0.0041597      0.16108      0.22462 BARIS_THYROID_CANCER_UP
