run_id	ancestry	model	direction_class	source	source_label	n_returned_terms	n_significant_terms	min_adjusted_p
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	REAC	Reactome	1494	0	1.0
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	KEGG	KEGG pathway	329	0	1.0
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	WP	WikiPathways	672	0	1.0
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	HP	Human phenotype	5319	0	1.0
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	HPA	Human Protein Atlas	724	0	1.0
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	CORUM	CORUM	597	0	1.0
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	TF	Transcription factor target	8788	0	0.1061098185234586
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	MIRNA	miRNA target	2888	0	1.0
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	GO:BP	GO biological process	3932	1	9.089633699765223e-07
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	GO:MF	GO molecular function	957	0	1.0
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	GO:CC	GO cellular component	591	0	1.0
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	REAC	Reactome	911	0	1.0
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	KEGG	KEGG pathway	264	0	1.0
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	WP	WikiPathways	419	1	1.0874776781721665e-06
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	HP	Human phenotype	3514	0	1.0
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	HPA	Human Protein Atlas	674	0	1.0
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	CORUM	CORUM	173	0	1.0
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	TF	Transcription factor target	7987	0	1.0
EUR_FOURTRAIT_discordant	EUR	FOURTRAIT	discordant	MIRNA	miRNA target	2683	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	GO:BP	GO biological process	4672	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	GO:MF	GO molecular function	1070	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	GO:CC	GO cellular component	667	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	REAC	Reactome	1073	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	KEGG	KEGG pathway	278	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	WP	WikiPathways	466	0	0.9264978902296019
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	HP	Human phenotype	3745	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	HPA	Human Protein Atlas	677	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	CORUM	CORUM	351	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	TF	Transcription factor target	8141	0	1.0
EUR_FOURTRAIT_dual	EUR	FOURTRAIT	dual	MIRNA	miRNA target	2747	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	GO:BP	GO biological process	6275	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	GO:MF	GO molecular function	1522	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	GO:CC	GO cellular component	942	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	REAC	Reactome	1473	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	KEGG	KEGG pathway	325	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	WP	WikiPathways	629	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	HP	Human phenotype	5550	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	HPA	Human Protein Atlas	734	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	CORUM	CORUM	557	0	1.0
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	TF	Transcription factor target	8822	0	0.0750586441032399
EUR_MDD_3TRAIT_concordant	EUR	MDD_3TRAIT	concordant	MIRNA	miRNA target	2896	0	0.18373624167507877
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	GO:BP	GO biological process	3886	2	1.0757972331815111e-13
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	GO:MF	GO molecular function	869	1	6.808442276525194e-06
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	GO:CC	GO cellular component	530	0	1.0
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	REAC	Reactome	855	0	1.0
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	KEGG	KEGG pathway	246	1	2.6698118318996105e-08
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	WP	WikiPathways	356	1	0.03312795591048972
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	HP	Human phenotype	3174	0	1.0
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	HPA	Human Protein Atlas	662	0	1.0
