# MEAN_SAMPLE_SIZE = 88076
# TOTAL_GENES = 18375
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45    -0.039063   -0.0019308      0.25935      0.55986 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      53   -0.0040527  -0.00021735       0.2369      0.50682 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      63      0.10951    0.0064015      0.18482      0.27675 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      36      0.39073     0.017278      0.25973     0.066247 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      45      0.44636     0.022063      0.22377     0.023046 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      24   -0.0057124  -0.00020632      0.31698      0.50719 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     614      0.10411     0.018712     0.062862     0.048848 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     915     0.071573     0.015569     0.057959      0.10845 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     348     0.073386     0.010003      0.08084        0.182 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36     -0.15609   -0.0069022      0.23102      0.75036 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8       0.1825    0.0038073      0.48314      0.35281 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      93      0.14961     0.010617      0.15867      0.17287 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1005      0.13715     0.031186     0.055535    0.0067685 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     719      0.12858     0.024933     0.055343     0.010087 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     208    0.0039568    0.0004186      0.10412      0.48484 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     928      0.08699      0.01905     0.052036     0.047299 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     172      0.14646     0.014104      0.11903      0.10927 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     274      0.21383     0.025917     0.095546     0.012617 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     576      0.11265      0.01963     0.073746     0.063326 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     143     0.073216    0.0064339      0.12447      0.27819 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     698      0.13028     0.024906     0.059965     0.014912 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     882     0.037798    0.0080802      0.05936      0.26214 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48      0.22339     0.011403      0.25192      0.18761 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28     -0.26025    -0.010152      0.25957      0.84197 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     375   -0.0097673   -0.0013811     0.080808       0.5481 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28      0.02878    0.0011226      0.31741      0.46388 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20    -0.071534   -0.0023588      0.39503      0.57185 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      27     0.023351   0.00089446      0.31971      0.47089 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8     -0.43936   -0.0091658       0.6004      0.76784 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     516      0.10764     0.017784     0.066792     0.053533 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     -0.76629    -0.011305      0.84682      0.81723 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56      0.20445      0.01127      0.22239      0.17897 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      35      0.26559      0.01158       0.2577      0.15137 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      42     -0.24729     -0.01181      0.22539      0.86372 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24     -0.13529   -0.0048864      0.29607      0.67615 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163    -0.011436   -0.0010724        0.126      0.53616 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     190    -0.031212   -0.0031574      0.11585      0.60619 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     115    0.0094995   0.00074918      0.14155      0.47325 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     111     0.011548   0.00089486      0.13839      0.46675 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      77     -0.11236   -0.0072583      0.16775       0.7485 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      87     0.033777    0.0023187      0.17811       0.4248 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
BHAT_ESR1_TARGETS_NOT_VIA_AK...2         SET     202     -0.27452    -0.028625      0.11406      0.99195 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP
