# MEAN_SAMPLE_SIZE = 55413
# TOTAL_GENES = 18952
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BENPORATH_NANOG_TARGETS                  SET     942     0.039572    0.0086005     0.040554      0.16459 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     173     0.044016    0.0041863     0.096379      0.32395 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     276     0.094856     0.011364     0.076853      0.10856 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     593     0.055423    0.0096494     0.058192      0.17045 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     145     0.075468     0.006576     0.096293       0.2166 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     705     0.085778     0.016234     0.046923     0.033778 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     910    0.0020053   0.00042874     0.046731      0.48289 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48     0.039338    0.0019773      0.19083      0.41834 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28     -0.36311    -0.013947      0.22505      0.94666 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     379     0.010961    0.0015345     0.063519       0.4315 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28    -0.020981  -0.00080587       0.2293      0.53645 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20      0.11015    0.0035765      0.26706         0.34 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28     -0.20353   -0.0078175      0.24847      0.79364 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8    0.0096651   0.00019854      0.42284      0.49088 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     523      0.01909    0.0031273     0.052704       0.3586 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4      0.16842    0.0024466      0.66102      0.39944 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56     0.085338    0.0046321      0.16903      0.30683 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36    -0.098856   -0.0043045      0.21506      0.67712 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43     0.045486    0.0021642      0.19427      0.40744 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24      -0.1363   -0.0048475      0.26756      0.69477 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163     -0.10729    -0.009907      0.10176      0.85412 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
