ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_CENTRAL_NERVOUS_SYSTEM_...1	SET	998	0.18411	0.041255	0.035231	8.7693e-08	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	SET	True	8.7693e-08	17008	2.9397930385700847e-06	0.00021306893485714288	True	True	7.0	0.18411	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_CENTRAL_NERVOUS_SYSTEM_...7	SET	170	0.41551	0.03931	0.088518	1.3489e-06	GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	SET	True	1.3489e-06	17008	2.9397930385700847e-06	0.0016387207999999998	True	True	14.0	0.41551	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_GENERATION_OF_NEURONS	SET	1352	0.21381	0.055207	0.030536	1.3087e-12	GOBP_GENERATION_OF_NEURONS	SET	True	1.3087e-12	17008	2.9397930385700847e-06	2.2258369600000002e-08	True	True	1.0	0.21381	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_HEAD_DEVELOPMENT	SET	772	0.20628	0.040911	0.039756	1.0711e-07	GOBP_HEAD_DEVELOPMENT	SET	True	1.0711e-07	17008	2.9397930385700847e-06	0.00022771586	True	True	8.0	0.20628	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_NEUROGENESIS	SET	1566	0.18017	0.049759	0.028306	1.0007e-10	GOBP_NEUROGENESIS	SET	True	1.0007e-10	17008	2.9397930385700847e-06	8.5099528e-07	True	True	2.0	0.18017	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_NEURON_DEVELOPMENT	SET	1035	0.18464	0.042091	0.03424	3.5162e-08	GOBP_NEURON_DEVELOPMENT	SET	True	3.5162e-08	17008	2.9397930385700847e-06	0.0001196070592	True	True	5.0	0.18464	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_POSITIVE_REGULATION_OF_...889	SET	17	1.3303	0.039962	0.26643	3.001e-07	GOBP_POSITIVE_REGULATION_OF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	SET	True	3.001e-07	17008	2.9397930385700847e-06	0.0004640091636363636	True	True	11.0	1.3303	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_SYNAPSE_ORGANIZATION	SET	423	0.29533	0.043773	0.052761	1.1046e-08	GOBP_SYNAPSE_ORGANIZATION	SET	True	1.1046e-08	17008	2.9397930385700847e-06	6.2623456e-05	True	True	3.0	0.29533	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOCC_DENDRITE_MEMBRANE	SET	38	0.87254	0.039166	0.18751	1.6459e-06	GOCC_DENDRITE_MEMBRANE	SET	True	1.6459e-06	17008	2.9397930385700847e-06	0.0017495917	True	True	16.0	0.87254	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOCC_DENDRITIC_TREE	SET	574	0.24351	0.04187	0.045585	4.6611e-08	GOCC_DENDRITIC_TREE	SET	True	4.6611e-08	17008	2.9397930385700847e-06	0.000132126648	True	True	6.0	0.24351	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOCC_NEURON_PROJECTION	SET	1255	0.15175	0.037857	0.031259	6.0807e-07	GOCC_NEURON_PROJECTION	SET	True	6.0807e-07	17008	2.9397930385700847e-06	0.0007955426584615384	True	True	13.0	0.15175	True	True	True
