# TOTAL_GENES = 18823
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BENPORATH_NANOG_TARGETS                  SET     938     0.088287     0.019212     0.035225    0.0061036 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     173      0.20202     0.019279     0.081332    0.0065027 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     276      0.21098     0.025361     0.064744    0.0005607 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     590      0.10957     0.019092     0.049695     0.013741 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     145    -0.051539   -0.0045062     0.082884      0.73297 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     704     0.080871     0.015345     0.040851      0.02388 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     904     0.058155     0.012435      0.03975     0.071739 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48    0.0068254   0.00034424      0.15612      0.48256 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28    -0.089113   -0.0034345      0.17557      0.69411 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     379     0.020988    0.0029481     0.053987      0.34873 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28    -0.011566  -0.00044575      0.21525      0.52143 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20    -0.085166   -0.0027747      0.26422       0.6264 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28    -0.015365  -0.00059219      0.21644       0.5283 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8     -0.54629     -0.01126      0.40009      0.91393 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     521    -0.017494     -0.00287     0.044812      0.65187 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     0.048905   0.00071286      0.55889      0.46514 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56    -0.012024  -0.00065487      0.15315      0.53129 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36     0.089155    0.0038954      0.18015      0.31034 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43     -0.32401    -0.015469       0.1693      0.97217 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24     -0.11102   -0.0039619      0.21275      0.69911 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163    -0.077442   -0.0071755     0.089411      0.80679 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     193      -0.1624     -0.01636     0.074578      0.98527 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     117      0.10436     0.008202     0.096821      0.14057 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     111     -0.10464   -0.0080119     0.097868       0.8575 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      79    -0.046487   -0.0030054      0.11409      0.65815 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      87      0.10825    0.0073423       0.1248      0.19288 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
BHAT_ESR1_TARGETS_NOT_VIA_AK...2         SET     203      0.02974    0.0030719     0.075892      0.34758 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP
