# MEAN_SAMPLE_SIZE = 74380
# TOTAL_GENES = 17852
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13   0.00021157   5.7073e-06       0.3402      0.49975 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      31     0.048298     0.002011      0.23836      0.41971 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8       1.1348     0.024018      0.41718    0.0032665 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     139     0.015355    0.0013497      0.10963      0.44431 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      17      0.34953     0.010781      0.32537      0.14136 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.32629    0.0073247       0.4387      0.22851 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12      0.37688    0.0097682      0.35342      0.14314 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      27      0.35327     0.013729      0.24772     0.076933 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18     0.047929    0.0015212       0.2857      0.43339 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14      0.16584    0.0046424      0.31314       0.2982 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      17     -0.56066    -0.017294      0.28609      0.97498 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54     -0.01964   -0.0010786      0.17196      0.54547 BARIS_THYROID_CANCER_DN
