# TOTAL_GENES = 18856
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     -0.61497    -0.016751      0.19198      0.99932 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18      -0.1269    -0.003919      0.18378      0.75505 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54    -0.098532   -0.0052655      0.11726      0.79962 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      22     -0.14653   -0.0050025      0.17417      0.79991 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      28     0.057692    0.0022215      0.16107      0.36011 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31      0.23477    0.0095117      0.16217     0.073862 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10     -0.32926   -0.0075807      0.25109      0.90512 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15    -0.058702   -0.0016551      0.19213      0.62002 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15      -0.2387     -0.00673      0.24706      0.83302 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39     -0.20312   -0.0092283      0.14362      0.92135 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     365     0.031144     0.004291     0.047154      0.25448 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     273    0.0013872   0.00016571     0.050522      0.48905 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     137      0.12177     0.010342     0.071166     0.043537 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      68    -0.013021  -0.00078057      0.11149      0.54649 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      98    -0.042291    -0.003041     0.090446      0.67996 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5     -0.45249   -0.0073675      0.33239      0.91328 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      76    -0.063634   -0.0040319      0.10609      0.72569 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11    0.0057161   0.00013803      0.28941      0.49212 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31      -0.2239   -0.0090712      0.16203      0.91648 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      51    -0.026862   -0.0013952      0.12048      0.58822 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      52    -0.047845   -0.0025091      0.11814      0.65726 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7      0.33836    0.0065183      0.39702      0.19704 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      44     -0.26766    -0.012915      0.14153      0.97069 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54      0.22463     0.012004      0.13576     0.049009 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64     -0.10762   -0.0062592      0.10627      0.84439 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      37    -0.033779   -0.0014949       0.1424      0.59375 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47     -0.11194   -0.0055818       0.1237      0.81723 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      28     0.054345    0.0020927      0.17938      0.38096 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     619     0.035396    0.0063073     0.034548      0.15279 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     942    -0.013828   -0.0030126     0.032471      0.66489 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     351     0.021288    0.0028774     0.045717      0.32073 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36    -0.025942   -0.0011324       0.1338      0.57687 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8      0.33742    0.0069488      0.29379      0.12538 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96     0.016965    0.0012075     0.091533      0.42648 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1024     0.013116    0.0029726     0.030975      0.33598 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     725     0.053641     0.010314     0.030814     0.040868 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     209    -0.015297   -0.0016015     0.057581      0.60474 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     935      0.08443     0.018329     0.029254    0.0019527 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     173     0.050098    0.0047767     0.067891      0.23029 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     275     0.023345    0.0027987     0.054195      0.33333 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     586   -0.0039157  -0.00067951     0.041057      0.53799 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     145     0.055255    0.0048269     0.068052      0.20842 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     700      0.10251     0.019382     0.034116    0.0013311 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     902     0.023874    0.0050953     0.033381      0.23725 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48      0.12672    0.0063856      0.13713      0.17773 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28     -0.14431    -0.005557      0.14819      0.83493 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     378    -0.077085    -0.010805      0.04623      0.95228 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28    0.0093618    0.0003605      0.16961      0.47799 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20     -0.24546     -0.00799      0.18616      0.90633 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28    -0.020092  -0.00077369      0.17395      0.54598 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8      0.58182     0.011982      0.39384     0.069806 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     523   -0.0027172  -0.00044622     0.037039      0.52924 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4      0.80668     0.011748      0.48758     0.049027 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56      0.16518    0.0089886      0.12198     0.087845 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36     0.053625    0.0023409      0.14668      0.35734 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43    -0.099197   -0.0047318      0.14748      0.74941 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24      0.19661      0.00701      0.19904      0.16164 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163     -0.11637    -0.010773     0.072402      0.94599 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     194      0.11766     0.011873     0.063461      0.03188 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     117     -0.10424    -0.008186     0.077274      0.91132 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     111    -0.016635   -0.0012726     0.080148      0.58221 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      79     0.022879    0.0014778     0.091922      0.40172 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      87      0.19603     0.013285     0.098497      0.02329 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
